"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"171","0628","ECOLE JEAN ROSTAND (GYMNASE)",940,16.81,0.9,1.81,6.71,55.35,3.48,0.26,0,0,11.1,1.81,19.48
"172","0629","ECOLE JEAN ROSTAND",997,16.65,0.72,1.33,5.94,59.03,4.61,0.12,0,0,8.73,1.82,18.42
"173","0630","ECOLE JEAN ROSTAND",1133,18.09,0.75,3.26,6.95,54.83,2.71,0.22,0.11,0.33,11.29,1.74,18.57
"174","0631","ECOLE JEAN ROSTAND",1195,17.91,1.43,3.1,6.31,43.54,7.76,0.72,0.1,0.1,12.2,0.41,25.75
"175","0632","LYCEE DU PARC",1010,18.51,0.85,2.33,5.88,56.86,3.68,0.49,0,0.25,11.89,0.98,17.65
"176","0633","LYCEE DU PARC",1009,20.22,0.5,3.25,7.99,36.83,9.61,0.75,0.25,0,10.36,0.5,30.46
"177","0634","LYCEE DU PARC",1016,14.57,1.5,4.68,6.78,47.13,5.61,0.35,0.12,0.47,12.28,1.4,21.17
"178","0701","MAIRIE DU 7EME ARRT",1024,18.07,0.95,5.9,8.18,23.47,14.56,1.2,0.6,0.12,12.52,1.56,31.89
"179","0702","MAIRIE DU 7EME ARRT",1205,19.34,1.13,5.52,8.32,24.14,13.32,0.73,0.21,0.21,10.51,0.73,36.32
"180","0703","ECOLE BERTHELOT",916,14.52,1.79,3.9,8.84,30.69,11.96,0.39,0.26,0.26,12.35,1.04,30.3
"181","0704","ECOLE BERTHELOT",1159,17.77,0.94,8.9,8.79,25.74,13.67,0.64,0.11,0.42,10.81,1.59,29.34
"182","0705","ECOLE MATERNELLE GILBERT DRU",1011,21.56,1.51,6.79,7.3,21,15.62,0.64,0.51,0.51,9.73,0.9,37
"183","0706","ECOLE MATERNELLE GILBERT DRU",967,20.99,1.31,8.62,5.84,15.12,20.03,0.66,0.27,0.53,10.08,1.06,37.8
"184","0707","ECOLE PASTEUR",721,16.23,0.99,4.68,4.52,28.43,14.88,1.67,0.67,0.84,10.87,0.5,32.94
"185","0708","ECOLE PASTEUR",729,18.24,1.51,9.54,6.98,15.16,24.87,1.02,0.51,0.68,6.3,1.53,33.39
"186","0709","ECOLE PRIMAIRE GILBERT DRU",1208,19.29,1.13,7.99,6.33,17.74,18.36,1.35,0.52,0.41,9.75,1.45,36.1
